fqcn	textChars
star.base.neo.groupby.GroupByCategoryOption	2808
star.base.neo.groupby.GroupByClassOption	1764
star.base.neo.groupby.GroupByMethod	2059
star.base.neo.groupby.GroupByPropertyOption	2133
star.base.neo.groupby.GroupingMethod	2032
star.base.neo.groupby.GroupingMethodRegistry	2589
star.base.neo.groupby.GroupingMethodRegistryImpl	3256
star.base.neo.HtmlSummaryReport	5787
star.base.neo.HtmlUtils	1468
star.base.neo.Instantiator	1217
star.base.neo.IntAsNamedObject	1968
star.base.neo.IntVarArgsArg	1287
star.base.neo.IntVector	3180
star.base.neo.IntVectorArg	1038
star.base.neo.IntVectorEditor	3118
star.base.neo.JournalHelper	2152
star.base.neo.LinkedNode	1126
star.base.neo.LinkedQueue	3141
star.base.neo.Localizable	965
star.base.neo.LongVector	3191
star.base.neo.Message	1103
star.base.neo.MultiSelectComponentBase	16975
star.base.neo.MultiSelectComponentBase.MultiSelectListUI	1228
star.base.neo.MultiSelectComponentBase.SelectionButton	11672
star.base.neo.MultiSelectTreeList	17093
star.base.neo.MultiSelectTreeList.MultiSelectListTreeModel	2493
star.base.neo.MultiSelectTreeList.NodeStatusDataHolder	2001
star.base.neo.MultiSelectTreeNode	983
star.base.neo.NamedClientServerObjectManager	6806
star.base.neo.NamedObject	5905
star.base.neo.NamedObjectArrayManager	659
star.base.neo.NeoActionListener	1567
star.base.neo.NeoAddedRemovedReport	2885
star.base.neo.NeoApplyReset	636
star.base.neo.NeoApplyResetPanel	8815
star.base.neo.NeoBasicSelector	612
star.base.neo.NeoBasicSelectorPanel	8286
star.base.neo.NeoBatch.ClientExitCode	2612
star.base.neo.NeoBatch.ExitCode	1323
star.base.neo.NeoBatch	5345
star.base.neo.NeoBatch.ServerExitCode	1156
star.base.neo.NeoBoolArg	868
star.base.neo.NeoClassArgument	2493
star.base.neo.NeoClient	8446
star.base.neo.NeoCollectionArg	4422
star.base.neo.NeoColorArg	1268
star.base.neo.NeoColorCell	14379
star.base.neo.NeoColorCell.MyColorComparable	1441
star.base.neo.NeoColorCellGridPanel	9430
star.base.neo.NeoColorEditor.CustomColorEditorWrapper	3595
